Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
James Harden,5,,PG/SG,12000,HOU,ATL,2,126,40,30,106,111,-4%,23,19,25,38,38,38,58.8,62.9,52.0,73.8,37.5,69.9,5.8,30.7,85.3,7.1
Giannis Antetokounmpo,5,P,SF/PF,11800,MIL,CHA,0,120,37,33,102,110,17%,25,26,21,34,34,33,66.5,63.7,52.1,75.2,33.0,68.1,5.8,19.6,45.3,3.8
Joel Embiid,11,,C,9500,PHI,IND,0,107,32,25,102,101,3%,19,15,16,34,31,30,45.9,46.7,32.9,60.4,32.0,51.0,5.4,33.3,58.8,6.2
Russell Westbrook,6,,PG,9300,HOU,ATL,2,126,33,18,106,111,-4%,21,22,20,37,36,34,46.9,47.1,34.3,59.9,34.5,50.9,5.5,26.7,35.5,3.8
Trae Young,8,,PG,8900,ATL,@HOU,0,112,36,23,108,107,-9%,26,23,22,39,37,36,51.9,51.1,36.3,65.9,34.5,47.4,5.3,31.4,52.3,5.9
Clint Capela,,O,C,8400,HOU,ATL,2,126,16,22,106,111,6%,14,12,11,38,36,32,48.5,40.4,27.2,53.7,0.0,0.0,0.0,0,0.0,0.0
Ben Simmons,2,,PG/SF,8300,PHI,IND,0,107,21,17,102,101,-7%,11,9,11,37,35,36,39.7,40.2,33.5,46.9,35.0,39.9,4.8,37.8,52.0,6.3
Domantas Sabonis,5,,PF/C,7700,IND,@PHI,0,101,25,22,102,102,-12%,13,13,14,37,34,35,42.4,43.1,35.9,50.4,34.0,38.1,4.9,32.3,32.0,4.2
Malcolm Brogdon,3,,PG/SG,7300,IND,@PHI,0,101,29,23,102,102,-6%,17,16,16,34,31,33,36.7,41.4,32.6,50.2,33.0,36.0,4.9,37.8,43.0,5.9
Al Horford,,,PF/C,6800,PHI,IND,0,107,21,19,102,101,-7%,8,9,13,32,31,32,32.9,34.0,25.3,42.8,32.0,33.5,4.9,32,30.3,4.5
Jabari Parker,5,,SF/PF,6700,ATL,@HOU,0,112,25,20,108,107,6%,16,15,14,34,30,28,37.4,32.4,19.4,45.5,32.0,38.9,5.8,20.1,19.3,2.9
Eric Bledsoe,0,P,PG,6600,MIL,CHA,0,120,27,19,102,110,-4%,8,13,13,31,30,28,31.3,33.9,24.2,43.6,29.0,35.3,5.3,22.6,24.0,3.6
Devonte' Graham,4,,PG/SG,6500,CHA,@MIL,0,106,27,17,108,101,8%,15,14,14,37,37,34,38.3,35.9,26.0,45.7,35.0,36.7,5.6,28.5,38.0,5.8
Tobias Harris,3,,SF/PF,6400,PHI,IND,0,107,23,17,102,101,-27%,16,15,15,34,35,35,32.4,35.3,27.3,43.4,34.5,33.0,5.2,36.4,31.5,4.9
Terry Rozier,2,,PG,6300,CHA,@MIL,0,106,25,15,108,101,8%,13,14,15,35,34,33,33.4,31.3,21.2,41.5,33.0,32.5,5.2,30.3,36.0,5.7
Jeremy Lamb,1,,SG/SF,6100,IND,@PHI,0,101,22,18,102,102,-10%,15,15,14,36,34,33,31.1,32.1,24.9,39.2,31.5,27.8,4.6,33.8,30.0,4.9
Khris Middleton,1,,SG/SF,6000,MIL,CHA,0,120,24,17,102,110,5%,12,13,14,21,27,29,28.3,31.0,23.5,38.5,24.0,27.1,4.5,16.1,25.5,4.3
Josh Richardson,1,O,SG/SF,5800,PHI,IND,0,107,22,15,102,101,-27%,17,15,13,31,31,33,34.1,30.1,21.6,38.6,0.0,0.0,0.0,0,0.0,0.0
Myles Turner,2,,C,5700,IND,@PHI,0,101,16,15,102,102,-12%,10,9,10,32,31,34,25.9,30.7,21.4,40.0,30.5,26.6,4.7,28.9,12.3,2.2
Brook Lopez,2,O,C,5500,MIL,CHA,0,120,16,14,102,110,9%,8,7,9,25,27,28,23.3,26.5,16.3,36.7,0.0,0.0,0.0,0,0.0,0.0
Miles Bridges,1,,SF/PF,5300,CHA,@MIL,0,106,18,12,108,101,-10%,14,13,11,29,32,32,30.9,26.4,17.9,34.9,30.5,24.7,4.7,34.4,28.0,5.3
P.J. Tucker,4,,SF/PF,5100,HOU,ATL,2,126,9,12,106,111,21%,8,7,7,36,35,36,21.8,24.6,15.4,33.9,35.5,24.7,4.8,29.7,23.3,4.6
Danuel House Jr.,,O,SF/PF,5000,HOU,ATL,2,126,14,16,106,111,6%,12,8,9,34,31,31,26.9,26.0,17.7,34.3,0.0,0.0,0.0,0,0.0,0.0
T.J. Warren,3,,SF/PF,4800,IND,@PHI,0,101,21,14,102,102,-8%,14,13,15,34,33,34,24.6,26.9,15.6,38.3,32.0,23.7,4.9,32,38.0,7.9
De'Andre Hunter,4,,SF/PF,4700,ATL,@HOU,0,112,18,8,108,107,-9%,10,13,11,38,37,32,21.2,21.1,11.5,30.8,34.0,26.9,5.7,29.1,25.3,5.4
PJ Washington,1,,PF/C,4600,CHA,@MIL,0,106,17,15,108,101,-4%,12,9,9,28,26,29,25.9,25.8,16.7,34.8,27.0,21.3,4.6,32.5,17.8,3.9
Bismack Biyombo,1,,C,4500,CHA,@MIL,0,106,19,21,108,101,1%,12,8,5,34,24,17,25.8,16.6,5.8,27.3,23.5,22.3,5.0,10,5.0,1.1
Donte DiVincenzo,3,,PG/SF,4400,MIL,CHA,0,120,18,14,102,110,-5%,9,10,8,27,28,22,23.1,20.8,11.4,30.1,26.0,21.9,5.0,19.7,20.0,4.5
T.J. McConnell,,,PG,4400,IND,@PHI,0,101,23,18,102,102,-6%,6,7,6,16,19,18,21.5,19.0,10.7,27.4,16.0,13.6,3.1,11.3,12.5,2.8
Justin Holiday,,,SG/SF,4400,IND,@PHI,0,101,14,11,102,102,-10%,4,6,7,22,23,25,23.9,18.7,10.1,27.3,19.0,11.5,2.6,27.5,21.8,5.0
Cody Zeller,3,,C,4300,CHA,@MIL,0,106,19,17,108,101,1%,9,7,9,21,19,25,18.4,25.0,13.8,36.1,18.5,17.9,4.2,20,17.3,4.0
Kevin Huerter,1,O,SG/SF,4300,ATL,@HOU,0,112,19,12,108,107,11%,8,9,8,23,25,23,23.3,19.7,14.6,24.7,0.0,0.0,0.0,0,0.0,0.0
Wesley Matthews,,,SG/SF,4300,MIL,CHA,0,120,13,10,102,110,-5%,8,8,6,27,28,26,19.3,15.3,7.3,23.2,27.0,16.4,3.8,21.3,19.3,4.5
Furkan Korkmaz,,,SG/SF,4200,PHI,IND,0,107,16,10,102,101,5%,6,8,8,26,24,24,13.6,15.5,7.1,23.9,29.5,18.9,4.5,22.2,17.5,4.2
Nicolas Batum,1,,SG/SF,4100,CHA,@MIL,0,106,12,11,108,101,3%,5,4,3,29,24,24,17.9,17.2,10.6,23.8,24.5,18.3,4.5,13.1,6.0,1.5
Pat Connaughton,,,SG/SF,4100,MIL,CHA,0,120,13,13,102,110,-5%,3,5,5,22,23,18,18.5,14.3,6.2,22.4,20.5,17.7,4.3,19.5,27.5,6.7
DeAndre' Bembry,7,,PG/SG,4000,ATL,@HOU,0,112,15,13,108,107,13%,9,8,6,31,29,26,27.7,21.5,10.9,32.0,29.0,25.8,6.5,23.2,15.8,4.0
Mike Scott,,,SF/PF,4000,PHI,IND,0,107,13,10,102,101,-7%,6,5,5,23,21,20,10.0,13.0,7.7,18.3,19.0,12.1,3.0,21.6,5.8,1.4
Aaron Holiday,,,PG/SG,3900,IND,@PHI,0,101,22,14,102,102,-6%,7,11,9,16,21,22,23.6,20.4,7.7,33.0,16.0,13.4,3.4,12.3,3.0,0.8
Matisse Thybulle,,,SG/SF,3900,PHI,IND,0,107,15,10,102,101,-7%,4,3,3,21,17,15,11.4,10.8,1.7,19.9,16.5,11.8,3.0,19.9,6.8,1.7
Allen Crabbe,0,,SG/SF,3800,ATL,@HOU,0,112,14,9,108,107,11%,5,6,5,15,20,18,10.4,11.4,6.4,16.5,25.5,19.4,5.1,24,13.3,3.5
Bruno Fernando,,,C,3800,ATL,@HOU,0,112,16,14,108,107,6%,4,3,4,15,15,13,13.8,11.8,5.1,18.5,16.5,15.2,4.0,15.4,10.8,2.8
George Hill,1,P,PG/SG,3700,MIL,CHA,0,120,15,17,102,110,-4%,8,7,7,19,21,22,22.3,20.4,12.9,27.9,20.0,16.3,4.4,15.3,19.0,5.1
Cam Reddish,3,O,PG/SG,3700,ATL,@HOU,0,112,19,5,108,107,6%,8,11,9,26,28,25,20.0,16.5,10.1,22.9,0.0,0.0,0.0,0,0.0,0.0
Ersan Ilyasova,1,,PF/C,3700,MIL,CHA,0,120,14,16,102,110,17%,7,6,5,19,17,17,17.4,16.1,9.1,23.0,21.0,19.4,5.2,15.6,17.3,4.7
Damian Jones,3,,C,3700,ATL,@HOU,0,112,12,17,108,107,3%,6,4,4,21,22,19,16.3,15.6,9.0,22.2,21.0,17.5,4.7,14.4,10.8,2.9
Malik Monk,4,,PG/SG,3600,CHA,@MIL,0,106,22,13,108,101,3%,7,8,9,19,20,21,15.5,17.6,7.6,27.6,21.5,19.6,5.4,24,9.0,2.5
