first_name,last_name,position,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Giannis,Antetokounmpo,SF,,2019-11-02,,MIL,TOR,-6.5,227,116.8,10700,23,41.5,58.6,71.3,59.0,5.51
Andre,Drummond,C,,2019-11-02,,DET,BKN,+2.0,223,110.5,10100,23,34.0,49.6,67.0,52.5,5.20
Nikola,Jokic,C,,2019-11-02,,DEN,ORL,-4.0,200.5,102.3,10300,7,30.5,42.7,65.0,48.3,4.68
Bradley,Beal,SG,,2019-11-02,,WAS,MIN,-3.0,228.5,115.8,9700,23,29.3,46.3,72.5,48.3,4.97
Kyrie,Irving,PG,,2019-11-02,,BKN,DET,-2.0,223,112.5,9300,16,41.0,55.2,76.0,46.3,4.97
Damian,Lillard,PG,,2019-11-02,,POR,PHI,+1.0,223,111,9100,2,42.8,52.3,58.3,46.3,5.08
Devin,Booker,PG,,2019-11-02,,PHO,MEM,-3.0,221.5,112.3,8300,28,27.8,40.4,49.0,45.8,5.51
Ben,Simmons,PG,,2019-11-02,,PHI,POR,-1.0,223,112,8700,20,31.5,39.3,46.0,45.8,5.26
Pascal,Siakam,PF,,2019-11-02,,TOR,MIL,+6.5,227,110.3,8500,6,33.0,46.5,66.5,41.8,4.91
Nikola,Vucevic,C,,2019-11-02,,ORL,DEN,+4.0,200.5,98.3,9000,6,23.5,35.9,49.3,41.0,4.56
Thomas,Bryant,PF,,2019-11-02,,WAS,MIN,-3.0,228.5,115.8,7200,12,23.8,35.4,49.8,38.0,5.28
Kyle,Lowry,PG,,2019-11-02,,TOR,MIL,+6.5,227,110.3,8100,23,36.3,42.1,49.5,38.0,4.69
Terry,Rozier,PG,,2019-11-02,,CHA,GS,-6.0,221,113.5,6900,22,20.0,31.7,46.8,37.5,5.43
Khris,Middleton,SG,,2019-11-02,,MIL,TOR,-6.5,227,116.8,7100,20,23.5,33.1,39.0,36.3,5.11
Al,Horford,PF,,2019-11-02,,PHI,POR,-1.0,223,112,7000,23,25.0,33.5,44.8,36.0,5.14
Tobias,Harris,SF,,2019-11-02,,PHI,POR,-1.0,223,112,7300,1,28.8,37.1,44.3,35.8,4.90
Andrew,Wiggins,SG,,2019-11-02,,MIN,WAS,+3.0,228.5,112.8,7100,17,27.5,32.2,37.8,35.0,4.93
Jamal,Murray,PG,,2019-11-02,,DEN,ORL,-4.0,200.5,102.3,7000,7,25.0,31.6,43.8,33.3,4.75
Cody,Zeller,C,,2019-11-02,,CHA,GS,-6.0,221,113.5,6400,26,18.8,35.0,52.0,33.0,5.16
PJ,Washington,PF,,2019-11-02,,CHA,GS,-6.0,221,113.5,6700,14,20.0,29.7,39.0,33.0,4.93
Jonas,Valanciunas,C,,2019-11-02,,MEM,PHO,+3.0,221.5,109.3,6500,18,12.3,27.2,44.8,33.0,5.08
Caris,LeVert,SG,,2019-11-02,,BKN,DET,-2.0,223,112.5,6100,10,22.0,32.1,40.0,33.0,5.41
Fred,VanVleet,PG,,2019-11-02,,TOR,MIL,+6.5,227,110.3,6300,23,26.3,36.2,56.3,33.0,5.24
CJ,McCollum,PG,,2019-11-02,,POR,PHI,+1.0,223,111,6700,2,20.8,34.8,52.0,32.8,4.89
Miles,Bridges,SF,,2019-11-02,,CHA,GS,-6.0,221,113.5,5600,29,21.3,25.7,34.5,32.8,5.85
Eric,Bledsoe,PG,,2019-11-02,,MIL,TOR,-6.5,227,116.8,5900,12,15.8,25.6,37.0,32.8,5.55
Ricky,Rubio,PG,,2019-11-02,,PHO,MEM,-3.0,221.5,112.3,6500,28,30.8,37.4,42.5,32.8,5.04
Kelly,Oubre Jr.,SF,,2019-11-02,,PHO,MEM,-3.0,221.5,112.3,6600,2,21.3,34.0,40.5,32.5,4.92
Ja,Morant,PG,,2019-11-02,,MEM,PHO,+3.0,221.5,109.3,6800,3,25.3,31.8,50.0,32.3,4.74
Jaren,Jackson Jr.,PF,,2019-11-02,,MEM,PHO,+3.0,221.5,109.3,6900,15,17.0,26.0,43.8,32.0,4.64
Rui,Hachimura,PF,,2019-11-02,,WAS,MIN,-3.0,228.5,115.8,6200,12,28.0,30.4,33.5,31.0,5.00
Jeff,Teague,PG,,2019-11-02,,MIN,WAS,+3.0,228.5,112.8,5900,30,17.5,29.4,45.8,31.0,5.25
Devonte',Graham,PG,,2019-11-02,,CHA,GS,-6.0,221,113.5,5800,22,20.3,32.9,42.5,30.8,5.30
Josh,Richardson,PG,Q,2019-11-02,,PHI,POR,-1.0,223,112,5100,20,15.8,25.5,32.5,29.8,5.83
Aaron,Gordon,SF,,2019-11-02,,ORL,DEN,+4.0,200.5,98.3,6000,5,18.3,25.1,37.3,29.5,4.92
Serge,Ibaka,PF,,2019-11-02,,TOR,MIL,+6.5,227,110.3,5700,6,19.8,26.9,32.5,29.5,5.18
Robert,Covington,SF,,2019-11-02,,MIN,WAS,+3.0,228.5,112.8,5400,7,16.3,25.3,34.0,29.3,5.42
Marc,Gasol,C,,2019-11-02,,TOR,MIL,+6.5,227,110.3,4900,28,13.0,17.5,24.0,27.5,5.61
Frank,Kaminsky,PF,,2019-11-02,,PHO,MEM,-3.0,221.5,112.3,4500,26,8.5,25.0,37.0,27.3,6.06
Jonathan,Isaac,SF,,2019-11-02,,ORL,DEN,+4.0,200.5,98.3,5600,5,21.0,28.9,44.8,27.0,4.82
Spencer,Dinwiddie,PG,,2019-11-02,,BKN,DET,-2.0,223,112.5,5500,16,12.3,26.6,36.3,26.8,4.86
Eric,Paschall,SF,,2019-11-02,,GS,CHA,+6.0,221,107.5,4600,15,11.0,19.3,29.8,26.8,5.82
Dario,Saric,SF,,2019-11-02,,PHO,MEM,-3.0,221.5,112.3,4800,2,9.3,25.6,45.3,26.0,5.42
Isaiah,Thomas,PG,,2019-11-02,,WAS,MIN,-3.0,228.5,115.8,4800,27,2.5,20.5,36.5,25.8,5.36
Luke,Kennard,SG,,2019-11-02,,DET,BKN,+2.0,223,110.5,5000,15,14.8,22.6,27.3,25.5,5.10
Brook,Lopez,C,,2019-11-02,,MIL,TOR,-6.5,227,116.8,5300,8,5.0,22.4,34.8,25.5,4.81
Markieff,Morris,PF,,2019-11-02,,DET,BKN,+2.0,223,110.5,4100,8,9.8,20.5,31.0,25.3,6.16
Jae,Crowder,SF,,2019-11-02,,MEM,PHO,+3.0,221.5,109.3,5200,24,15.8,25.9,30.5,25.3,4.86
Taurean,Prince,SF,,2019-11-02,,BKN,DET,-2.0,223,112.5,5100,20,19.5,30.7,51.5,24.8,4.85
Gary,Harris,SG,,2019-11-02,,DEN,ORL,-4.0,200.5,102.3,4700,5,13.8,22.0,31.3,24.8,5.27
Aron,Baynes,C,,2019-11-02,,PHO,MEM,-3.0,221.5,112.3,5000,27,8.5,29.4,59.5,24.8,4.95
Jarrett,Allen,PF,,2019-11-02,,BKN,DET,-2.0,223,112.5,4500,28,21.8,26.3,32.3,24.8,5.50
OG,Anunoby,SF,,2019-11-02,,TOR,MIL,+6.5,227,110.3,4900,18,20.5,29.9,40.0,24.3,4.95
Dwayne,Bacon,SG,,2019-11-02,,CHA,GS,-6.0,221,113.5,4300,8,11.0,20.1,36.8,23.3,5.41
Evan,Fournier,SG,,2019-11-02,,ORL,DEN,+4.0,200.5,98.3,5100,6,24.8,27.7,31.3,23.3,4.56
DeAndre,Jordan,C,,2019-11-02,,BKN,DET,-2.0,223,112.5,4800,10,6.8,21.1,30.8,23.0,4.79
Paul,Millsap,PF,,2019-11-02,,DEN,ORL,-4.0,200.5,102.3,4600,24,12.8,21.9,35.0,23.0,5.00
Brandon,Clarke,PF,Q,2019-11-02,,MEM,PHO,+3.0,221.5,109.3,4700,15,14.8,22.6,29.8,22.5,4.79
Davis,Bertans,SF,,2019-11-02,,WAS,MIN,-3.0,228.5,115.8,4100,8,7.0,21.2,31.5,22.3,5.43
Willie,Cauley-Stein,C,,2019-11-02,,GS,CHA,+6.0,221,107.5,4700,20,14.3,20.7,28.3,22.3,4.73
Rodney,Hood,SG,,2019-11-02,,POR,PHI,+1.0,223,111,3900,13,18.8,22.5,34.0,22.0,5.64
Joe,Harris,SG,,2019-11-02,,BKN,DET,-2.0,223,112.5,4500,10,15.5,24.0,36.3,21.8,4.83
Shabazz,Napier,PG,,2019-11-02,,MIN,WAS,+3.0,228.5,112.8,3800,30,16.3,24.5,35.0,21.3,5.59
Ish,Smith,PG,,2019-11-02,,WAS,MIN,-3.0,228.5,115.8,4600,27,7.5,17.4,33.8,21.0,4.57
Christian,Wood,PF,,2019-11-02,,DET,BKN,+2.0,223,110.5,3600,8,-0.5,17.0,38.5,21.0,5.83
Glenn,Robinson III,SF,,2019-11-02,,GS,CHA,+6.0,221,107.5,4400,15,10.5,20.3,30.3,20.8,4.72
Dillon,Brooks,SG,,2019-11-02,,MEM,PHO,+3.0,221.5,109.3,4300,14,16.8,20.6,30.0,20.5,4.77
