Date,GPP Line,Cash Line 
10/22/19,292.07,288.03
10/23/19,322.59,327.46
10/24/19,274.28,256.07
10/25/19,298.6,287.32
10/26/19,292.1,286.54
10/27/19,290.26,283
10/28/19,285.67,281.79
10/29/19,244.81,236.02
10/30/19,312.5,311.58
10/31/19,254.96,250.23
11/1/19,278.36,265.19
11/2/19,314.6,317.72
11/3/19,272.91,257.42
11/4/19,329.83,318.82
11/5/19,283.2,281.05
11/6/19,315.8,310.75
11/7/19,278.41,265.12
11/8/19,300.51,281.79
11/9/19,294.72,276.99
11/10/19,0,0
11/11/19,291.35,289.26
11/12/19,0,0
11/13/19,305.95,291.88
11/14/19,319.11,315.12
11/15/19,291.35,282.31
11/16/19,294.64,289.75
11/17/19,313.04,307.75
11/18/19,315.96,318.47
11/19/19,291.33,284.28
11/20/19,304.8,306.07
11/21/19,354.31,299.36
11/22/19,284.25,276.01
11/23/19,284.46,279.88
11/24/19,237.17,217.19
11/25/19,288.51,280.14
11/26/19,244.78,236.3
11/27/19,295.67,293.33
11/29/19,251.31,262.69
11/30/19,312.27,309.31
12/1/19,260.94,245.33
12/2/19,252.7,238.62
12/3/19,291.71,292.24
12/4/19,289.26,265.45
12/5/19,312.35,299.35
12/6/19,309.07,303.47
12/7/19,277.54,270.16
12/8/19,272.85,255.75
12/9/19,294.84,284.93
12/10/19,283.12,265.36
12/11/19,300.16,296.23
12/12/19,283.49,264.95
12/13/19,296.86,298.05
12/14/19,288.1,278.71
12/15/19,259.66,247.08
12/16/19,310.42,293.88
12/17/19,283.79,283.29
12/18/19,285.81,262.15
12/19/19,277.36,267.79
12/20/19,267.53,247.01
12/21/19,286.92,271.83
12/22/19,274,260.75
12/23/19,303.4,296.21
12/25/19,276.54,262.95
12/26/19,248.77,233.46
12/27/19,298.77,299.42
12/28/19,298.72,287.29
12/29/19,277.02,213.35
12/30/19,304.19,300.1
12/31/19,291.29,289.13
1/1/20,280.98,281.11
1/2/20,261.94,246.75
1/3/20,315.74,308.52
1/4/20,269.78,252.17
1/5/20,306.75,302.92
1/6/20,282.04,272.98
1/7/20,276.98,269.96
1/8/20,312.42,297.53
1/9/20,0,0
1/10/20,293.26,282.18
1/11/20,281.45,265.98
1/12/20,286.27,282.53
1/13/20,307.5,279.73
1/14/20,256.79,242.02
1/15/20,295.85,293.33
1/16/20,338.2,338.93
1/17/20,281.62,274.7
1/18/20,313.83,282.59
1/19/20,269.79,260.25
1/20/20,250.75,355.29
1/22/20,295.2,287.88
1/23/20,308.47,313.77
1/24/20,284.53,257.87
1/25/20,303.09,302.46
1/26/20,309.37,303.63
1/27/20,293.67,270.68
1/28/20,225.76,334.13
1/29/20,261.99,238.36
1/30/20,288.39,275.59
1/31/20,299,284.28
2/1/20,282.32,270.7
2/2/20,295.78,282.92
2/3/20,333.13,336.15
2/4/20,301.46,278.47
2/5/20,325.56,312.8
2/6/20,285.63,281.29
2/7/20,301.87,300.59
2/8/20,295.04,300.59
2/9/20,298.69,277.38
2/10/20,313.87,318.13
2/11/20,310.59,311.51
2/12/20,312.96,308.26
2/13/20,0,0
2/20/20,315.82,305.25
2/21/20,310.1,310.35
2/22/20,290.13,273.53
2/23/20,299.74,303.3
2/24/20,317.8,322.08
2/25/20,267.38,264.7
2/26/20,289.66,279.15
2/27/20,296.79,298.75
2/28/20,276.43,273.16
2/29/20,273.24,240.94
3/1/20,299.59,296.75
3/2/20,287.96,293.17
3/3/20,275.8,266.49
3/4/20,287.24,266.4
3/5/20,257,238.22
3/6/20,339.63,344.17
3/7/20,302.85,301.44
3/8/20,314.84,292.04
3/9/20,257.98,224.81
3/10/20,268.01,250.1
3/11/20,242.01,240.35
